485	PAJAK MANNA
486	AROMA SUPERMARKET
585	BALI KADO MEDAN
740	SPBU 14.203.184
1343	BRI UNIT SALAPIAN BINJAI
50003	RS. SEMBIRING DELI TUA
50004	SPBU SETIA BUDI 14.201.169
50005	MARKAS KODAM I/BB 2 GATOT SUBROTO
50006	MDN SPBU 14.203.161 DISKI 2
50122	BRI UNIT PADANG BULAN
50272	KCP SUKA RAME
50275	SPBU HAJI ANIF
50281	BRI GALLERY KC MEDAN THAMRIN 3
50291	BRI UNIT KEDAI DURIAN
50294	MDN-INDOMARET PANGLIMA DENAI 2
51544	MDN - SUN PLAZA
51545	CENTRA BANGUNAN SEI ROTAN
51547	MARKAS KODAM I/BB GATOT SUBROTO
51551	KOSEK III TNI POLONIA
54522	SPN POLRI LANGKAT
54735	BRI KK PT. TASPEN 
54736	SPBU SEI SERAYU
54757	BRI KCP PANGKALAN BRANDAN 3
56078	BRI UNIT BATANG SERANGAN 2
58765	RUMKIT KODAM I BUKIT BARISAN PUTRI HIJAU
59294	INDOMARET TANJUNG GUSTA
59302	INDOMARET GAJAH MADA
59323	INDOMARET SEI MENCIRIM 10 / JOHAR (EX.IDM TANDAM HILIR)
74162	KCP RINGROAD
74675	INDOMARET PUNAK
80008	KANINS MEDAN
80016	ALFAMART YAKUB LUBIS 1
80435	BRI KK RSU HAJI ADAM MALIK
80471	KCP DISKI 2
80478	STIKES HELVETIA
80479	UNIT SEI SEMAYANG 2
80482	BRI AGRO( EX UNIT SUKARAMAI)
81019	RS ROYAL PRIMA
81025	DENINTEL KODAM MEDAN
81034	SPBU BAKTI
81035	SUZUYA KATAMSO
81036	MDN-UNIT BANGUN SARI
81039	KOPERTIS MEDAN
90002	UNIT TANJUNG MORAWA
90362	GALLERY KANCA GATOT SUBROTO 3
90363	RSU BINA KASIH
90367	SPBU 14.203.1143 TANJUNG ANOM
90371	STIPAP MEDAN
90372	INDOMARET MENTENG RAYA 2
90373	FAKULTAS EKONOMI USU MEDAN
91593	UNIT BRI BANGKATAN BINJAI
91594	UNIT BRI BRAHRANG BINJAI 2
91595	BRI UNIT JATINEGARA 1 BINJAI
91597	KEMENTRIAN AGAMA BINJAI
91598	UNIT SUDIRMAN BINJAI 2
91599	SPBU TANJUNG PURA 1
91612	KC LUBUK PAKAM
91617	SPBU JL. GAGAK HITAM
91618	BRI UNIT PAJAK MELATI 1
91620	UNIT PUJI MULIO 1
91623	BRI KK NOMENSEN
91627	PT. ALM
91631	RSU IMELDA JL.BILAL
94746	RSU MUHAMMADIYAH
94747	BRI KCP WILLEM ISKANDAR 1
94748	ALFAMIDI TUASAN (SF19)
94755	BRI UNIT SUKAMAJU 2
94757	RS. MARINHUS PASAR 3/TUASAN 
94760	BRI UNIT KLUMPANG 1
94764	BRI UNIT TANJUNG ANOM 2
95014	MEDAN UNIT TANDAM 2
95022	CENTRAL PARK ZOO MEDAN
95268	PT. LONDON SUMATERA II
95354	BRI UNIT SETIA BUDI
95441	INDOMARET LAUT DENDANG
95443	KCP PTPN II TANJUNG MORAWA
95449	INDOMARET HALAT
95450	BRI UNIT PETISAH
95455	RS LATERSIA BINJAI
95848	SPBU PT BRAHMA PUTRA MNDRI
100003	UNIT DELITUA
350381	SWALAYAN DIAMOND JOHOR
351426	KOMPLEK PERTOKOAN KARYA JAYA
440678	KC STABAT
440681	KOMP YONIF 8 MARINIR BRANDAN
440808	RSUD DR. RM. DJOELHAM
450118	MEDAN ALFAMART TEMBUNG BESAR 3 PASAR 7
451418	POLRES BINJAI
451420	MEDAN PEKAN SELESAI
451433	UNIVERSITAS AUDI INDONESIA
451434	ALFAMART RAKYAT
451435	ALFAMART PANGLIMA DENAI 2
451438	ALFAMIDI PERJUANGAN
451441	ALFAMIDI TEMBUNG (SF08)
451442	KOMPI A YON ZIPUR
451443	ALFAMIDI SYAILENDRA
451453	SWALAYAN PASAR BUAH SETIA BUDI
451456	INDOMARET KELAMBIR V
451457	PT. CHAROEN POKPHAND INDONESIA
451460	SMK TRITEC MEDAN
451461	YAYASAN DARUL ILMI X INDM A NSTN
451463	DIT SABHARA POLDASU
451465	RSU BIDADARI BINJAI (EX.GALLERY KANCA SM RAJA 3 )
520528	INDOMARET SP UJUNG SERDANG
520529	HUBDAM/ BB KARYA WISATA
520532	MEDAN KUTUS KUTUS
520533	KCP KRAKATAU
520534	SPBU PLATINUM PERTAMINA, JL. PLATINA RAYA BLOK B NO.1F
520546	MEDAN OKE SUPERMARKET
520554	KCP WILLIEM ISKANDAR
540216	LNK GOHOR LAMA STABAT
540217	PTPN II KEBUN KWALA SAWIT SEBRANG
540220	RSU TANJUNG SELAMAT
540221	INDOMARET PROKLAMASI
540222	SPBU GARUDA JAYA BINJAI
540428	MALL CENTER POINT
550013	BRI KCP PANGKALAN BRANDAN 1
550014	SPBU SUWANTO PD TUALANG STABAT
550020	ALFAMIDI DARUSSALAM 
550026	PT MUSAM UTJING
550029	UNIT BRI BAHOROK BINJAI 2
550034	PT. BUANA ESTATE
550036	BRI UNIT SIMPANG LIMUN 1
550037	ALFAMIDI AMPLAS
550041	IDM FRESH SP JERMAL 1
550042	YON ARMED 21105 (EX UNIT TITI KUNING 1)
550044	BRI UNIT MENTENG 1
550045	BRI UNIT BAKTI 1
550049	UNIVERSITAS MANDIRI BINA PRESTASI
550050	ALFAMART MARINDAL SIMPANG KONGSI
550060	ALFAMIDI SEI ROTAN
550063	BRI UNIT MANDALA 1
550065	BRI UNIT SUKARAMAI 1
550071	KAMPUS PANCA BUDI II
550072	HOTEL GRAND KANAYA
550074	RS SEMBIRING II
550075	ALFAMART SRI GUNTING
550079	MEDAN LANTAMAL BELAWAN (EX BRI UNIT HELVETIA 2)
550081	KAMPUS METHODIST FAK KEDOKTERAN TJG SARI MEDAN
550082	BRI UNIT SIDORAME 1
550087	BRI UNIT SETIA BUDI 1
550095	ALFAMART JAMIN GINTING RAYA
550097	R.S STELLA MARIS MEDAN (EX.ALFAMIDI ISKANDAR MUDA)
550103	PT LONSUM BEGERPANG TJ. MORAWA
550602	KC BINJAI
550603	GALERY KC BINJAI
550604	GALERY KC BINJAI
550605	MEDAN PT UKINDO
550606	SPBU CITRA MARACAYBO
550610	MALL CITY WALK RINGROAD MEDAN
550612	RS STIKES HELVETIA
550617	BRIMOB BHAYANGKARA
620187	SPBU 14.202.141 MENTENG
620202	RS. IMELDA MEDAN
620205	KUDAM I BB
620206	BRI UNIT PANCUR BATU
620983	DEPO 78 BINJAI
620984	BRI UNIT SOEKARNO HATTA
620985	BRI UNIT JATINEGARA 2 BINJAI
620986	PT LONSUM TURANGIE
620988	IDM TANAH SERIBU (EX. UNIT BRI SEMAYANG 1)
620989	UNIT BRI KWALA BEGUMIT BINJAI
621001	DIKLAT PLN TUNTUNGAN
621002	BRI UNIT GATOT SUBROTO
621019	UNIT BRI BATANG KUIS LUBUK PAKAM 2
621024	SPBU 14-203-1176 PANTAI LABU
621026	MEDAN KAMPUS UNIKA SP PEMDA
621027	PEGADAIAN KANWIL MEDAN
621029	ALFAMIDI KELAMBIR 5
621030	RS MITRA MEDICA TJ MULIA YOS SUDARSO
621031	MAJU BERSAMA RINGROAD MEDAN
621032	INDOMARET SEI MENCIRIM
621033	SWALAYAN DIAMOND MERCI
621034	ALFAMIDI JAMIN GINTING 3 (SF94
621035	SUPERMARKET BRASTAGI TIARA
621036	YAYASAN PENDIDIKAN HARAPAN
621037	INDOMARET PUNA SEMBIRING
621038	INDOMARET FRESH GEDUNG ARCA
621039	BRI KK PT. ASABRI
621040	ALFAMIDI BINJAI KM 12 (SF73)
621042	BRI KK BUNGALOW (RS ADAM MALIK)
621043	IDM FRESH SM.RAJA KM.75
621044	ASRAMA YONKAV 6 SERBU
621045	BRI UNIT NAMORAMBE 1
621046	BRI UNIT MARINDAL DALAM 2
621054	UNIV QUALITY RINGROAD EX (BRI KCP MEDAN MALL 1)
621055	BRI UNIT CINTA RAKYAT 2
621056	BRI UNIT H.M YAMIN 1
621058	BRI UNIT SIMPANG KOLAM 2
621059	BRI KCP SELAYANG
630261	BRI KC STABAT
630262	BRI UNIT PERNIAGAAN
630265	RSU PERTAMINA PANGAKALAN BRANDAN
630266	RSU TANJUNG PURA
630267	LNK BESILAM BESITANG
630269	BRI UNIT BESITANG STABAT 2
630271	BRI UNIT TANJUNG PURA 1
630272	POLRES LANGKAT/STABAT
630273	BRI UNIT SECANGGANG STABAT 2
630274	BRI UNIT GEBANG STABAT 2
630275	BRI UNIT PANGKALAN SUSU 2
630276	INDOMART THAMRIN SIMP. BRANDAN
630277	BRI KCP TANJUNG PURA 1
630278	INDOMARET BESITANG
T0200083	THAMRIN PLAZA
T0200140	NASUBA MART MEDAN
T0200265	SUZUYA TANJUNG MORAWA
T0200428	RSIA PRAMALIESA
T0201022	KIM 2 MABAR ( EX. BASEMAN KANCA ISMU )
T0201271	RS REGINA MARIS
T0201272	RSU ESHMUN
T0201327	RS MURNI TEGUH
T0201345	ASRAMA BRIMOB KH WAHID HASYIM
T0201396	BRI UNIT TITI KUNING
T0201401	HOME SMART 
T0201405	IDM DENAI SP AMAL
T0201488	GEREJA SANTA MARIA
T0201492	HOTEL GRAND CENTRAL
T0201559	POLDA SUMUT 1 TJG MORAWA
T0201650	BANDARA KUALANAMU 2 
T0201653	MAJU BERSAMA GLUGUR
T0201894	SWALAYAN IRIAN HM. JONI
T0202015	KESATUAN MINFET KODAM I BB EX ALFAMIDI KH WAHID HASYIM
